Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 07/21  06:00:00,50634078.90542554,5375014.899360215,5658677.913250788,0.0,19800193.046400003,19800193.046400003,72000.0,0.0,72000.0 
 07/21  07:00:00,64720515.85242811,7306455.785951043,17813673.97366252,0.0,19800193.046400003,19800193.046400003,1631108.816058453,0.0,1631108.816058453 
 07/21  08:00:00,64873783.38035683,7306455.785951043,17966941.501591258,0.0,19800193.046400003,19800193.046400003,1631183.0333984194,0.0,1631183.0333984194 
 07/21  09:00:00,66100414.51989008,7306455.785951043,19193572.641124494,0.0,19800193.046400003,19800193.046400003,1631284.663616098,0.0,1631284.663616098 
 07/21  10:00:00,67633330.44378944,7306455.785951043,20726488.56502387,0.0,19800193.046400003,19800193.046400003,1631286.752945253,0.0,1631286.752945253 
 07/21  11:00:00,68928748.38319136,7306455.785951043,22021906.504425775,0.0,19800193.046400003,19800193.046400003,1631283.6155678895,0.0,1631283.6155678895 
 07/21  12:00:00,70257814.04394642,7306455.785951043,23350972.165180843,0.0,19800193.046400003,19800193.046400003,1631340.1601672438,0.0,1631340.1601672438 
 07/21  13:00:00,71006202.17693527,7306455.785951043,24099360.298169702,0.0,19800193.046400003,19800193.046400003,1631305.4301298363,0.0,1631305.4301298363 
 07/21  14:00:00,71729493.66111179,7306455.785951043,24822651.78234622,0.0,19800193.046400003,19800193.046400003,1631204.333540936,0.0,1631204.333540936 
 07/21  15:00:00,72332344.30502155,7306455.785951043,25425502.426255964,0.0,19800193.046400003,19800193.046400003,1631266.2860659403,0.0,1631266.2860659403 
 07/21  16:00:00,72361517.16965336,7306455.785951043,25454675.290887777,0.0,19800193.046400003,19800193.046400003,1631271.8163639822,0.0,1631271.8163639822 
 07/21  17:00:00,71778255.738629,7306455.785951043,24871413.859863427,0.0,19800193.046400003,19800193.046400003,1631320.2853261114,0.0,1631320.2853261114 
 07/21  18:00:00,70783992.15723494,7306455.785951043,23877150.27846936,0.0,19800193.046400003,19800193.046400003,1631214.7724171083,0.0,1631214.7724171083 
 07/21  19:00:00,68773400.52116682,7306455.785951043,21866558.642401233,0.0,19800193.046400003,19800193.046400003,72000.0,0.0,72000.0 
 07/21  20:00:00,73349242.51071022,7306455.785951043,19533400.631944627,0.0,19800193.046400003,19800193.046400003,1631161.3499231592,0.0,1631161.3499231592 
 07/21  21:00:00,73621747.87117904,7306455.785951043,18424105.992413443,0.0,19800193.046400003,19800193.046400003,1631126.0862268384,0.0,1631126.0862268384 
 07/21  22:00:00,72761527.84170008,7306455.785951043,17563885.962934494,0.0,19800193.046400003,19800193.046400003,72000.0,0.0,72000.0 
 07/21  23:00:00,53924334.48020001,2299932.2516082902,3733216.135777168,0.0,19800193.046400003,19800193.046400003,1631115.56218653,0.0,1631115.56218653 
 07/21  24:00:00,59053299.532005765,5375014.899360215,5787098.539830998,0.0,19800193.046400003,19800193.046400003,1631066.1016454818,0.0,1631066.1016454818,1576545812.1655698,31352736.06972972,540.3391815662081,0.1882293074920187,1.1780282647503484,0.9824097887455154,0.012689743680299112,2.9513021629072145,0.0,0.027528687996049607,0.0,0.0,0.016146832467109153,0.000008893621988505388,0.000043803120794742394,679.4212464093008,0.0,0.0,155.76432018543272 
